ID,Geometry,Stop Name,Station Code,Service Provider Name,Route Name,Longitude,Latitude
1,Linestring,Gombak,KJ1,Rapid KL,Kelana Jaya Line,101.724427,3.231793
2,Linestring,KLCC,KJ10,Rapid KL,Kelana Jaya Line,101.713287,3.158935
3,Linestring,Kampung Baru,KJ11,Rapid KL,Kelana Jaya Line,101.706608,3.161386
4,Linestring,Dang Wangi,KJ12,Rapid KL,Kelana Jaya Line,101.701975,3.156942
5,Linestring,Masjid Jamek,KJ13,Rapid KL,Kelana Jaya Line,101.696815,3.149714
6,Linestring,Pasar Seni,KJ14,Rapid KL,Kelana Jaya Line,101.69531,3.142439
7,Linestring,KL Sentral,KJ15,Rapid KL,Kelana Jaya Line,101.68625,3.13442
8,Linestring,Bangsar,KJ16,Rapid KL,Kelana Jaya Line,101.679062,3.127588
9,Linestring,Abdullah Hukum,KJ17,Rapid KL,Kelana Jaya Line,101.672897,3.118735
10,Linestring,Kerinchi,KJ18,Rapid KL,Kelana Jaya Line,101.668572,3.115506
11,Linestring,Universiti,KJ19,Rapid KL,Kelana Jaya Line,101.661639,3.114616
12,Linestring,Taman Melati,KJ2,Rapid KL,Kelana Jaya Line,101.72197,3.219558
13,Linestring,Taman Jaya,KJ20,Rapid KL,Kelana Jaya Line,101.645248,3.104086
14,Linestring,Asia Jaya,KJ21,Rapid KL,Kelana Jaya Line,101.637695,3.104343
15,Linestring,Taman Paramount,KJ22,Rapid KL,Kelana Jaya Line,101.623192,3.104716
16,Linestring,Taman Bahagia,KJ23,Rapid KL,Kelana Jaya Line,101.612856,3.11079
17,Linestring,Kelana Jaya,KJ24,Rapid KL,Kelana Jaya Line,101.6043,3.112497
18,Linestring,Lembah Subang,KJ25,Rapid KL,Kelana Jaya Line,101.591034,3.112094
19,Linestring,Ara Damansara,KJ26,Rapid KL,Kelana Jaya Line,101.586372,3.108643
20,Linestring,Glenmarie,KJ27,Rapid KL,Kelana Jaya Line,101.590622,3.094732
21,Linestring,Subang Jaya,KJ28,Rapid KL,Kelana Jaya Line,101.588127,3.08466
22,Linestring,SS15,KJ29,Rapid KL,Kelana Jaya Line,101.585983,3.075972
23,Linestring,Wangsa Maju,KJ3,Rapid KL,Kelana Jaya Line,101.731796,3.205751
24,Linestring,SS18,KJ30,Rapid KL,Kelana Jaya Line,101.585945,3.067182
25,Linestring,USJ7,KJ31,Rapid KL,Kelana Jaya Line,101.592194,3.054956
26,Linestring,Taipan,KJ32,Rapid KL,Kelana Jaya Line,101.590233,3.04815
27,Linestring,Wawasan,KJ33,Rapid KL,Kelana Jaya Line,101.588348,3.035062
28,Linestring,USJ21,KJ34,Rapid KL,Kelana Jaya Line,101.581711,3.029881
29,Linestring,Alam Megah,KJ35,Rapid KL,Kelana Jaya Line,101.572029,3.023151
30,Linestring,Subang Alam,KJ36,Rapid KL,Kelana Jaya Line,101.572281,3.009421
31,Linestring,Putra Heights,KJ37,Rapid KL,Kelana Jaya Line,101.575462,2.996227
32,Linestring,Sri Rampai,KJ4,Rapid KL,Kelana Jaya Line,101.73747,3.199176
33,Linestring,Setiawangsa,KJ5,Rapid KL,Kelana Jaya Line,101.73584,3.17576
34,Linestring,Jelatek,KJ6,Rapid KL,Kelana Jaya Line,101.735344,3.167204
35,Linestring,Dato’ Keramat,KJ7,Rapid KL,Kelana Jaya Line,101.73184,3.16509
36,Linestring,Damai,KJ8,Rapid KL,Kelana Jaya Line,101.724489,3.164406
37,Linestring,Ampang Park,KJ9,Rapid KL,Kelana Jaya Line,101.719017,3.159894
